	word	sense_id	definition	sent_lemmatized	adagram_sense	sent	word_idx	bert_sense
10	фигура	6	Форма, рисунок, узор, образуемые расположенными определенным образом предметами.	форма , рисунок , узор , образовать расположить определённый образ предмет .	2	Фигура - это форма, рисунок, узор, образуемые расположенными определенным образом предметами.	0	1
11	фигура	7	Предмет определенной формы, который передвигают по шахматной доске при игре в шахматы. Название короля, ферзя, ладьи, слона, коня в отличие от пешки.	предмет определённый форма , который передвигать по шахматный доска при игра в шахматы . название король , ферзь , ладья , слон , конь в отличие от пешка .	3	Фигура - это предмет определенной формы, который передвигают по шахматной доске при игре в шахматы. название короля, ферзя, ладьи, слона, коня в отличие от пешки.	0	0
12	фигура	8	Деревянная цилиндрическая чурка, предназначенная для игры в городки; рюха, городок.	деревянный цилиндрический чурка , предназначить для игра в городок ; рюха , городок .	2	Фигура - это деревянная цилиндрическая чурка, предназначенная для игры в городки; рюха, городок.	0	1
13	фигура	9	Стилистический прием, словесный оборот, используемый для усиления выразительности речи (в литературоведении).	стилистический приём , словесный оборот , использовать для усиление выразительность речь ( в литературоведение ).	2	Фигура - это стилистический прием, словесный оборот, используемый для усиления выразительности речи (в литературоведении).	0	1
14	фигура	10	Мелодический или ритмический элемент, усложняющий, украшающий основу музыкального произведения.	мелодический или ритмический элемент , усложнять , украшать основа музыкальный произведение .	2	Фигура - это мелодический или ритмический элемент, усложняющий, украшающий основу музыкального произведения.	0	1
15	фигура	11	Старшая игральная карта (туз, король, дама, валет).	старший игральный карта ( туз , король , дама , валет ).	2	Фигура - это старшая игральная карта (туз, король, дама, валет).	0	0
16	фигура	12	Неизвестный или незнакомый человек.	неизвестный или незнакомый человек .	3	Фигура - это неизвестный или незнакомый человек.	0	1
17	фигура	13	Человек как носитель каких-л. качеств, свойств. Образ, созданный в произведениях художественной литературы или актером на сцене.	человек как носитель какой - л . качество , свойство . образ , создать в произведение художественный литература или актёр на сцена .	2	Фигура - это человек как носитель каких-л. качеств, свойств. образ, созданный в произведениях художественной литературы или актером на сцене.	0	1
18	фигура	14	 Важное, значительное лицо, персона.	важный , значительный лицо , персона .	3	Фигура - это  важное, значительное лицо, персона.	0	1
19	карта	1	Своеобразный чертеж поверхности Земли, какого-л. небесного тела или звездного неба.	своеобразный чертёж поверхность земля , какой - л . небесный тело или звёздный небо .	0	Карта - это своеобразный чертеж поверхности земли, какого-л. небесного тела или звездного неба.	0	1
20	карта	2	Каждый из составляющих игральную колоду плотных листков с изображенными на них фигурами или очками четырех мастей.	каждый из составлять игральный колода плотный листок с изобразить на они фигура или очки четыре масть .	0	Карта - это каждый из составляющих игральную колоду плотных листков с изображенными на них фигурами или очками четырех мастей.	0	1
21	карта	3	Бланк для заполнения какими-л. сведениями.	бланк для заполнение какой - л . сведение .	0	Карта - это бланк для заполнения какими-л. сведениями.	0	1
22	карта	4	 Почтовая открытка.	почтовый открытка .	0	Карта - это  почтовая открытка.	0	1
23	карта	5	 То же, что: меню.	то же , что : меню .	3	Карта - это  то же, что: меню.	0	1
24	анализ	1	Метод научного исследования действительности, состоящий в расчленении целого на составные элементы (противоп.: синтез).	метод научный исследование действительность , состоять в расчленение целое на составной элемент ( противоп .: синтез ).	1	Анализ - это метод научного исследования действительности, состоящий в расчленении целого на составные элементы (противоп.: синтез).	0	1
25	анализ	2	Определение состава и свойств вещества путем разложения его на более простые элементы.  Результат исследования состава и свойств какого-л. вещества (крови, мочи и т. п.).	определение состав и свойство вещество путём разложение он на более простой элемент . результат исследование состав и свойство какой - л . вещество ( кровь , мочить и так . п .).	1	Анализ - это определение состава и свойств вещества путем разложения его на более простые элементы.  результат исследования состава и свойств какого-л. вещества (крови, мочи и т. п.).	0	1
26	анализ	3	Детальное, всестороннее изучение, рассмотрение какого-л. факта, явления, события.	детальный , всесторонний изучение , рассмотрение какой - л . факт , явление , событие .	1	Анализ - это детальное, всестороннее изучение, рассмотрение какого-л. факта, явления, события.	0	1
27	функция	1	Зависимая переменная величина (в математике).	зависимый переменный величина ( в математика ).	4	Функция - это зависимая переменная величина (в математике).	0	1
28	функция	2	Проявление жизнедеятельности организма, тканей, клеток и т. п. (в физиологии).	проявление жизнедеятельность организм , ткань , клетка и так . п . ( в физиология ).	4	Функция - это проявление жизнедеятельности организма, тканей, клеток и т. п. (в физиологии).	0	1
29	функция	3	Явление, зависящее от другого, основного явления и служащее формой его проявления или осуществления.	явление , зависеть от другой , основный явление и служащий форма он проявление или осуществление .	4	Функция - это явление, зависящее от другого, основного явления и служащее формой его проявления или осуществления.	0	1
30	функция	4	 Обязанность, круг деятельности, подлежащая исполнению работа. Значение, назначение, роль.	обязанность , круг деятельность , подлежать исполнение работа . значение , назначение , роль .	4	Функция - это  обязанность, круг деятельности, подлежащая исполнению работа. значение, назначение, роль.	0	1
