	word	sent	sent_lemmatized	word_idx	adagram_sense	bert_sense
41	клетка	Основной рабочий элемент - это клетка ( нейрон ) , но еще более важны цепочки нейронов , которые образуют сложные разветвленные структуры .	основной рабочий элемент - это клетка ( нейрон ) , но еще более важный цепочка нейрон , который образовывать сложный разветвить структура .	5	2	0
42	клетка	Как известно , клетки мозга способны проводить электрический импульс .	как известный , клетка мозг способный проводить электрический импульс .	3	2	1
43	клетка	Но если можно выращивать мозговые клетки на чипах , почему нельзя такой чип имплантировать в мозг ? !	но если можно выращивать мозговой клетка на чип , почему нельзя такой чип имплантировать в мозг ? !	5	4	1
44	клетка	Немецкий ученый Петер Фромхерц в 2001 году не только объединил нейроны с электронной схемой , но и заставил растущие на кремниевом чипе клетки соединиться и образовать синапсы .	немецкий ученый Петер Фромхерц в 2001 год не только объединить нейрон с электронный схема , но и заставить расти на кремниевый чип клетка соединиться и образовать синапс .	22	2	1
45	клетка	Клетки мозга накапливают опыт , который приобретается от постоянного диалога с внешним миром .	клетка мозг накапливать опыт , который приобретать от постоянный диалог с внешний мир .	0	4	0
46	клетка	Для полноты картины добавим , что генетический материал для оплодотворения можно будет извлекать из любой клетки тела как мужчины , так и женщины .	для полнота картина добавить , что генетический материал для оплодотворение можно быть извлекать из любой клетка тело как мужчина , так и женщина .	15	2	1
47	клетка	Представьте себе , что нагрузка в 2 тонны будет воздействовать на грудную клетку .	представить себя , что нагрузка в 2 тонна быть воздействовать на грудной клетка .	12	4	0
48	клетка	Его основная задача - снижение последствий воздействия ремня безопасности на грудную клетку человека во время столкновения .	его основной задача - снижение последствие воздействие ремень безопасность на грудной клетка человек во время столкновение .	11	2	0
49	клетка	Ведь действует же подобный механизм в отдельных клетках !	ведь действовать же подобный механизм в отдельный клетка !	7	2	0
50	клетка	Ученые выяснили , что эти гены кодируют белки , запускающие сложный каскад реакций , в результате чего клетка буквально распадается на мелкие кусочки .	ученый выяснить , что этот ген кодировать белок , запускать сложный каскад реакция , в результат что клетка буквально распадаться на мелкий кусочек .	17	2	0
51	клетка	Эти кусочки используются в качестве строительного материала другими клетками .	этот кусочек использовать в качество строительный материал другой клетка .	8	2	0
52	клетка	"Апоптоз запускается для того , чтобы "" убрать "" лишние , неправильные или больные клетки , в том числе и раковые ."	"апоптоз запускать для то , чтобы "" убрать "" лишний , неправильный или больной клетка , в тот число и раковый ."	14	4	1
53	клетка	Апоптоз может распространяться на ткани и органы , когда от одной клетки сигнал к самоубийству идет соседним клеткам .	апоптоз мочь распространяться на ткань и орган , когда от один клетка сигнал к самоубийство идти соседний клетка .	11	4	1
54	клетка	И митохондрия принимает решение о самоубийстве , причем из альтруистических соображений - чтобы спасти геном клетки от атаки активными формами кислорода .	и митохондрия принимать решение о самоубийство , причем из альтруистический соображение - чтобы спасти геном клетка от атака активный форма кислород .	15	2	1
55	клетка	И тогда из них внутрь клетки попадает слишком много разных белков , часть из которых вызывает апоптоз целой клетки .	и тогда из они внутрь клетка попадать слишком много разный белок , часть из который вызывать апоптоз целый клетка .	5	4	1
56	клетка	Если в организме клеток гибнет больше , чем рождается , это и означает старение .	если в организм клетка гибнуть больше , чем рождаться , это и означать старение .	3	2	0
57	клетка	""" Мышцы не потому слабеют , что у них постарели клетки , - говорит Скулачев , - просто их становится все меньше "" ."	""" мышца не потому слабеть , что у они стареть клетка , - говорить Скулачев , - просто они становиться все мало "" ."	10	2	1
58	клетка	Если гипотеза верна и старение - это программа со своим механизмом , то его можно остановить , ведь научились же ученые останавливать механизм самоубийства клеток ( пресекая каскад реакций ингибитором одного из важных для этого процесса белков ) .	если гипотеза верный и старение - это программа с свой механизм , то он можно остановить , ведь научиться же ученый останавливать механизм самоубийство клетка ( пресекать каскад реакция ингибитор один из важный для этот процесс белок ) .	24	4	0
59	клетка	Еще в 1969 году он вместе с Ефимом Либерманом установил , что некоторые катионы ( положительно заряженные ионы ) легко проникают сквозь мембрану не только клетки , но и митохондрии .	еще в 1969 год он вместе с Ефим Либерман установить , что некоторый катион ( положительно зарядить ион ) легко проникать сквозь мембрана не только клетка , но и митохондрия .	25	2	1
60	клетка	Причем в последнюю гораздо резвее , потому что в митохондриях электрическая разность потенциалов в три раза выше , чем в клетке , а это способствует тому , что положительно заряженные ионы легко втягиваются именно туда .	причем в последний гораздо резво , потому что в митохондрия электрический разность потенциал в три раз высокий , чем в клетка , а это способствовать то , что положительно зарядить ион легко втягиваться именно туда .	20	4	0
61	клетка	"Ученые сразу же синтезировали вещество - тот самый антиоксидант , который они подсмотрели в природе , прицепили его к молекуле - "" электровозу "" и стали испытывать сначала на клетках , потом на животных ."	"ученый сразу же синтезировать вещество - тот самый антиоксидант , который они подсмотреть в природа , прицепить он к молекула - "" электровоз "" и стать испытывать сначала на клетка , потом на животное ."	29	2	0
62	клетка	Поддержание жизни происходит благодаря энергии Солнца и растениям , в клетках которых происходит естественный ( но вместе с тем и чудесный ! ) процесс фотосинтеза - преобразование неорганических веществ ( минеральных солей , углекислого газа и воды ) в органические , поглощение углекислоты и выделение кислорода .	поддержание жизнь происходить благодаря энергия Солнце и растение , в клетка который происходить естественный ( но вместе с то и чудесный ! ) процесс фотосинтез - преобразование неорганический вещество ( минеральный соль , углекислый газ и вода ) в органический , поглощение углекислота и выделение кислород .	10	2	0
63	клетка	Уотсону и Крику не верили , что в клетках всех живых существ есть ДНК , пока с этим не согласилось множество других биологов .	уотсон и Крик не верить , что в клетка весь живой существо быть ДНК , пока с это не согласиться множество другой биолог .	8	2	0
64	клетка	Программирование клеток .	программирование клетка .	1	2	0
65	клетка	Вот уже больше десяти лет генетиков будоражит пример знаменитой овечки Долли - первого млекопитающего , клонированного из клетки взрослого животного .	вот уже больше десять год генетик будоражить пример знаменитый овечка Долли - первый млекопитающее , клонировать из клетка взрослый животное .	17	2	1
66	клетка	"Суть настоящей проблемы такая : можно ли , взяв генетический материал незрелой яйцеклетки , "" омолодить "" уже взрослую дифференцированную клетку и заставить ее геном вернуться к состоянию стволовой , из которого уже сформируется новый организм или , скажем , отдельный орган этого организма ?"	"суть настоящий проблема такой : можно ли , брать генетический материал незрелый яйцеклетка , "" омолодить "" уже взрослый дифференцировать клетка и заставить ее геном вернуться к состояние стволовый , из который уже сформироваться новый организм или , сказать , отдельный орган этот организм ?"	20	4	0
67	клетка	То есть - взять любую , а не только стволовую , клетку и из нее вырастить новый организм ?	то быть - брать любой , а не только стволовый , клетка и из она вырастить новый организм ?	11	4	0
68	клетка	В научной прессе появился целый ряд публикаций , описывающих такое достижение : внедрив в обыкновенные клетки кожи некоторое количество генов , можно перепрограммировать их таким образом , чтобы они стали выглядеть и вести себя как зародышевые стволовые клетки .	в научный пресса появиться целый ряд публикация , описывать такой достижение : внедрить в обыкновенный клетка кожа некоторый количество ген , можно перепрограммировать они такой образ , чтобы они стать выглядеть и вести себя как зародышевый стволовый клетка .	15	2	1
69	клетка	Так как в этих экспериментах были задействованы живые эмбриональные клетки , вокруг них сразу разгорелись жаркие дебаты этического и политического толка .	так как в этот эксперимент быть задействовать живой эмбриональный клетка , вокруг они сразу разгореться жаркий дебаты этический и политический толк .	9	2	1
70	клетка	В этом году удалось значительно продвинуться в понимании механизма специализации иммунных клеток , который обеспечивает и краткосрочную , и долговременную защиту организма от возбудителей различных болезней .	в этот год удаться значительно продвинуться в понимание механизм специализация иммунный клетка , который обеспечивать и краткосрочный , и долговременный защита организм от возбудитель различный болезнь .	11	4	0
71	клетка	"Большая часть из них играет роль короткоживущих клеток - смертниц , чьей главной задачей является немедленное уничтожение врага , однако часть их претерпевает метаморфозу и превращается в "" клетки памяти "" , которые затем мирно циркулируют в крови на протяжении многих десятилетий - до тех пор , пока им вновь не встретится уже знакомый возбудитель ."	"больший часть из они играть роль короткоживущий клетка - смертница , чей главный задача являться немедленный уничтожение враг , однако часть их претерпевать метаморфоза и превращаться в "" клетка память "" , который затем мирно циркулировать в кровь на протяжение много десятилетие - до тот пора , пока они вновь не встретиться уже знакомый возбудитель ."	7	2	0
72	клетка	T-клетка остается пассивной до тех пор , пока ей не встретится древовидная клетка ( еще один важный компонент иммунной защиты ) , несущая специфические молекулы патогена .	t-клетка оставаться пассивный до тот пора , пока она не встретиться древовидный клетка ( еще один важный компонент иммунный защита ) , нести специфический молекула патоген .	12	2	0
73	клетка	В течение нескольких часов клетки взаимодействуют друг с другом , при этом на рецепторах T-клетки накапливаются различные белки .	в течение несколько час клетка взаимодействовать друг с друг , при это на рецептор t-клетка накапливаться различный белок .	4	2	1
74	клетка	"Как выяснилось , из той стороны T-клети клетки , которая примыкала к древовидной клетке , образуется "" клетка - солдат "" , а из противоположной стороны T-клетки получается клетка памяти ."	"как выясниться , из тот сторона t-клеть клетка , который примыкать к древовидный клетка , образовываться "" клетка - солдат "" , а из противоположный сторона t-клетка получать клетка память ."	7	2	1
75	клетка	Классический пример - молекула ДНК , которая хранит генетическую информацию животных и растительных клеток .	классический пример - молекула ДНК , который хранить генетический информация животный и растительный клетка .	13	2	0
76	клетка	- Неужели обычные слова могут оживить мертвую клетку ?	- неужели обычный слово мочь оживить мертвый клетка ?	7	2	0
77	клетка	"Доктор Бланк комментирует их так : "" Есть параметр , характеризующий работу клеток - дыхательные волны клеток ."	"доктор Бланк комментировать они так : "" быть параметр , характеризовать работа клетка - дыхательный волна клетка ."	12	2	0
78	клетка	Не кроликов кормить , так клетки ремонтировать .	не кролик кормить , так клетка ремонтировать .	5	2	1
79	клетка	"И клетки сами чистили , и перегной по грядкам раскидывали "" ."	"и клетка сам чистить , и перегной по грядка раскидывать "" ."	1	2	1
